鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
南港區,房地(土地+建物),臺北市南港區經貿一路160號旁,10.98,住,,,2023-01-06,土地34建物1車位0,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.15,2,2,1,有,無,22600000,363636,,0.0,0,,RPPNMLQJJHIGFDA27DB,全陽馥,A2-20F號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,44.18,住,,,2023-01-03,土地2建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,238.88,0,0,0,無,無,68860000,326223,坡道平面,37.3,3100000,,RPTNMLRJJHIGFEA87DB,樸園璞開石,4F-A1號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,43.38,住,,,2023-01-03,土地2建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,236.66,0,0,0,無,無,68190000,326495,坡道平面,37.3,3100000,,RPPNMLSJJHIGFEA57DB,樸園璞開石,4F-A3號,
文山區,房地(土地+建物),臺北市文山區保儀路,7.88,商,,,2023-01-08,土地1建物1車位0,十層,21,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,80.41,2,1,1,有,無,15570000,193633,,0.0,0,,RPPNMLTJJHIGFAA27DB,天賞大願,C4棟10F號,
北投區,房地(土地+建物)+車位,臺北市北投區清江里中央南路一段81號,15.34,商,,,2023-01-08,土地36建物1車位1,十九層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,196.85,4,2,2,有,無,41000000,227139,坡道平面,26.47,2300000,交易總價含下列非屬預售屋價格之費用:毛胚屋；,RPQNMLTJJHIGFEA67CB,富域,A棟A2-19F號,
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路一段156巷21號,28.73,住,,,2023-01-04,土地3建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.17,3,2,2,有,無,34500000,224343,坡道平面,34.76,3000000,,RPSNMLTJJHIGFCA67CB,岳泰峰山,C-4F號,
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街136巷18弄12號,13.45,住,,,2023-01-08,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.0,2,1,2,有,無,24980000,219439,坡道平面,34.19,2200000,雨遮計坪不計價,RPPNMLKKJHIGFCA66DB,家騰真,A3-3F號,
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段609號,25.37,商,,,2023-01-06,土地22建物1車位2,十五層,21,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,280.25,0,0,0,無,無,87500000,396355,坡道平面,76.14,6600000,,RPSNMLLKJHIGFEA27DB,築觀,A1-15F號,
中正區,房地(土地+建物)+車位,臺北市中正區金山南路一段53巷1號旁,33.67,住,,,2023-01-07,土地4建物1車位2,八層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,347.4,0,0,0,無,無,142280000,492323,坡道平面,73.84,7600000,,RPQNMLLKJHIGFBA76DB,富邦醴仁,8F-A1號,
中正區,房地(土地+建物),臺北市中正區廈門街１４９號旁,8.62,商,,,2023-01-07,土地11建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.99,2,2,2,有,無,22380000,257271,,0.0,0,,RPQNMLLKJHIGFAA56CB,華和淳萃,C-6F號,
中正區,房地(土地+建物),臺北市中正區廈門街１４９號旁,6.19,商,,,2023-01-02,土地11建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.41,2,1,1,有,無,15780000,252844,,0.0,0,,RPRNMLLKJHIGFAA66CB,華和淳萃,B-4F號,
大同區,房地(土地+建物)+車位,臺北市大同區大有里環河北路一段,23.4,其他,,,2023-01-08,土地9建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.51,4,2,2,有,無,46200000,267298,坡道機械,0.9,2200000,,RPPNMLNKJHIGFBA86DB,峰源,A棟0號,
大同區,房地(土地+建物)+車位,臺北市大同區大有里環河北路一段,21.18,其他,,,2023-01-08,土地9建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.03,3,2,2,有,無,42000000,266881,坡道機械,0.9,2200000,,RPQNMLNKJHIGFBA96DB,峰源,B棟0號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,23.8,住,,,2023-01-14,土地1建物1車位2,五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.99,3,2,2,有,無,41670000,298110,坡道平面,80.64,4600000,,RPPNMLOKJHIGFEA27DB,隆雲心仝聚,C-5F號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,59.7,住,,,2023-01-06,土地2建物1車位2,十層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,347.51,0,0,0,無,無,100500000,346634,坡道平面,74.6,5900000,,RPQNMLOKJHIGFEA37DB,樸園璞開石,10F-A2號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,43.38,住,,,2023-01-11,土地2建物1車位1,五層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,236.66,0,0,0,無,無,68280000,325441,坡道平面,37.3,3400000,,RPSNMLOKJHIGFEA57DB,樸園璞開石,5F-A3號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,59.3,住,,,2023-01-13,土地2建物1車位2,十七層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,345.04,0,0,0,無,無,104270000,365959,坡道平面,74.6,5300000,,RPTNMLOKJHIGFEA67DB,樸園璞開石,17F-A1號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,43.78,住,,,2023-01-11,土地2建物1車位2,二十一層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,275.54,0,0,0,無,無,79900000,369762,坡道平面,74.6,5600000,,RPUNMLOKJHIGFEA77DB,樸園璞開石,21F-A4號,
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街136巷18弄12號,13.01,住,,,2023-01-13,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.56,2,1,2,有,無,24300000,220185,坡道平面,34.19,2200000,雨遮計坪不計價,RPPNMLOKJHIGFCA07DB,家騰真,A7-4F號,
大同區,房地(土地+建物)+車位,臺北市大同區大有里歸綏街210號,8.37,商,,,2023-01-06,土地13建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.67,2,2,2,有,無,33000000,290949,坡道平面,37.7,2750000,,RPPNMLPKJHIGFBA96CB,三豐雲迪,F棟0號,
大同區,房地(土地+建物)+車位,臺北市大同區大有里歸綏街210號,11.23,商,,,2023-01-07,土地13建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.85,3,2,2,有,無,39950000,263289,坡道平面,37.7,3050000,,RPQNMLPKJHIGFBA07CB,三豐雲迪,A棟0號,
萬華區,房地(土地+建物),臺北市萬華區漢口街二段88號,4.87,商,,,2023-01-02,土地1建物1車位0,四層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,63.1,1,1,1,有,無,13800000,218700,,0.0,0,,RPRNMLQKJHIGFBA27CB,岳泰豐鼎,A2-4號,
萬華區,房地(土地+建物)+車位,臺北市萬華區漢口街二段88號,5.12,商,,,2023-01-11,土地1建物1車位1,五層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,77.29,1,1,1,有,無,15480000,224010,坡道機械,12.65,1000000,,RPSNMLQKJHIGFBA37CB,岳泰豐鼎,A6-4號,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段12號,7.21,商,,,2023-01-08,土地6建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,96.66,2,1,1,有,無,35250000,398780,其他,13.03,1900000,,RPQNMLQKJHIGFCA27CB,南京阿曼,B-08F號,
信義區,房地(土地+建物),臺北市信義區松隆路9巷30弄,11.12,住,,,2023-01-05,土地2建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,58.49,2,1,1,有,無,19820000,338861,,0.0,0,,RPQNMLQKJHIGFDA37CB,信義WOW,A3號,
文山區,房地(土地+建物)+車位,臺北市文山區保儀路,16.19,商,,,2023-01-14,土地1建物1車位1,二十七層,29,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,199.34,0,0,0,無,無,38880000,222441,坡道平面,37.14,2800000,,RPPNMLQKJHIGFAA07DB,天賞大願,A2棟27F號,
北投區,房地(土地+建物),臺北市北投區文林北路,44.18,住,,,2023-01-14,土地2建物1車位0,十四層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,201.58,0,0,0,無,無,69980000,347157,,0.0,0,,RPPNMLRKJHIGFEA57DB,樸園璞開石,14F-A1號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路23巷,18.64,住,,,2023-01-09,土地1建物1車位1,六層,25,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,135.27,3,2,2,有,無,33500000,321026,坡道平面,37.77,2200000,,RPPNMLRKJHIGFEA47CB,柏鴻君臨,A2-06F號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,29.73,住,,,2023-01-06,土地2建物1車位2,十五層,26,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,214.47,3,2,2,有,無,62610000,362975,坡道平面,59.06,6200000,,RPQNMLRKJHIGFEA57CB,國泰雍萃,A6-15F號,
南港區,房地(土地+建物)+車位,臺北市南港區東新里興南街,16.54,住,,,2023-01-13,土地7建物1車位1,二十六層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,147.0,3,2,2,有,無,40000000,297927,坡道平面,23.48,3200000,預售屋雨遮計坪不計價,RPPNMLRKJHIGFDA37CB,擎天森林,A棟A9-26F號,
中山區,房地(土地+建物),臺北市中山區八德路二段137巷20號,10.26,住,,,2023-01-16,土地2建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,55.87,2,1,1,有,無,19800000,354394,,0.0,0,,RPPNMLRKJHIGFCA27CB,八德137,C棟C-8號,
中山區,房地(土地+建物),臺北市中山區八德路二段137巷20號,13.26,住,,,2023-01-11,土地2建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.41,2,1,1,有,無,27000000,383468,,0.0,0,,RPRNMLRKJHIGFCA47CB,八德137,A棟A-10號,
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段,7.83,住,,,2023-01-10,土地9建物1車位1,五層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,112.51,2,1,1,有,無,24880000,276580,坡道平面,30.87,2300000,,RPQNMLRKJHIGFBA27CB,當代一號院,A棟09號,
萬華區,房地(土地+建物)+車位,臺北市萬華區民和街１１８號旁,17.15,住,,,2023-01-09,土地35建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.69,2,2,1,有,無,24500000,215295,坡道平面,34.04,2400000,雨遮面積登記不計價,RPRNMLRKJHIGFBA37CB,萬錦,B棟B5-8F號,
信義區,房地(土地+建物),臺北市信義區松隆路４２號旁,6.55,住,,,2023-01-08,土地1建物1車位0,四層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,,46.49,1,1,1,有,無,17150000,368897,,0.0,0,,RPQNMLTKJHIGFDA67CB,信義麗心,B-4F號,
信義區,房地(土地+建物),臺北市信義區松隆路４２號旁,8.57,住,,,2023-01-17,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.13,2,1,1,有,無,21880000,370032,,0.0,0,,RPWNMLTKJHIGFDA28CB,信義麗心,C-4F號,
中山區,房地(土地+建物)+車位,臺北市中山區大直街84巷,11.61,住,,,2023-01-06,土地3建物1車位1,十八層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,123.91,2,2,1,有,無,39680000,416723,坡道平面,35.65,2900000,雨遮不計價,RPPNMLTKJHIGFCA47CB,躍大直,A3-18F號,
萬華區,房地(土地+建物)+車位,臺北市萬華區民和街１１８號旁,24.12,住,,,2023-01-16,土地35建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.7,3,2,2,有,無,34600000,219826,坡道平面,34.04,2800000,雨遮面積登記不計價,RPPNMLTKJHIGFBA37CB,萬錦,A棟A3-14F號,
大同區,房地(土地+建物)+車位,臺北市大同區大有里歸綏街210號,13.52,商,,,2023-01-16,土地13建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.18,4,2,2,有,無,45850000,259081,坡道平面,37.7,2200000,,RPQNMLTKJHIGFBA47CB,三豐雲迪,B棟0號,
大同區,房地(土地+建物),臺北市大同區大有里歸綏街210號,6.99,商,,,2023-01-17,土地13建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,87.1,2,2,2,有,無,23200000,266361,,0.0,0,,RPRNMLTKJHIGFBA57CB,三豐雲迪,H棟0號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,2023-01-08,土地40建物1車位1,二十層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.43,2,2,2,有,無,28900000,296053,坡道平面,27.27,2800000,,RPSNMLMLJHIGFBA07CB,首岳,B棟B2-20F號,
大同區,房地(土地+建物),臺北市大同區寧夏路88號,6.52,商,,,2023-01-04,土地40建物1車位0,二十二層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,88.14,2,2,2,有,無,24770000,281030,,0.0,0,,RPTNMLMLJHIGFBA17CB,首岳,B棟B5-22F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,2023-01-08,土地40建物1車位1,二十二層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.41,2,2,2,有,無,27460000,280917,坡道平面,27.27,2700000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPUNMLMLJHIGFBA27CB,首岳,B棟B6-22F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,2023-01-06,土地40建物1車位1,十六層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.43,2,2,2,有,無,28100000,291515,坡道平面,27.27,2400000,,RPVNMLMLJHIGFBA37CB,首岳,B棟B9-16F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,9.59,商,,,2023-01-05,土地40建物1車位1,十六層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,152.02,2,2,2,有,無,36270000,270301,坡道平面,27.27,2550000,,RPWNMLMLJHIGFBA47CB,首岳,B棟B11-16F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,9.59,商,,,2023-01-03,土地40建物1車位1,十八層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,152.02,2,2,2,有,無,36350000,272946,坡道平面,27.27,2300000,,RPXNMLMLJHIGFBA57CB,首岳,B棟B11-18F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,2023-01-14,土地40建物1車位1,二十層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.43,2,2,2,有,無,28800000,296053,坡道平面,27.27,2700000,,RPOOMLMLJHIGFBA76CB,首岳,B棟B3-20F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,2023-01-14,土地40建物1車位1,二十三層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.41,2,2,2,有,無,27830000,289653,坡道平面,27.27,2300000,,RPPOMLMLJHIGFBA86CB,首岳,B棟B6-23F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,2023-01-10,土地40建物1車位1,二十一層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.43,2,2,2,有,無,28650000,294351,坡道平面,27.27,2700000,,RPQOMLMLJHIGFBA96CB,首岳,B棟B9-21F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.67,商,,,2023-01-09,土地40建物1車位1,二十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,112.41,2,2,2,有,無,28270000,302091,坡道平面,27.27,2550000,,RPROMLMLJHIGFBA07CB,首岳,B棟B9-25F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,11.63,商,,,2023-01-10,土地40建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,179.13,3,2,2,有,無,43000000,266035,坡道平面,27.27,2600000,雨遮不計價,RPSOMLMLJHIGFBA17CB,首岳,C棟C2-12F號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路,31.55,住,,,2023-01-04,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.82,3,2,2,有,無,41500000,310762,坡道平面,36.77,2950000,,RPPNMLNLJHIGFEA17CB,宏普陽明,9號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路,26.7,住,,,2023-01-14,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.75,3,2,2,有,無,35970000,315489,坡道平面,36.77,2850000,,RPQNMLNLJHIGFEA27CB,宏普陽明,6號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路,31.55,住,,,2023-01-12,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.82,3,2,2,有,無,40830000,306167,坡道平面,36.77,2850000,,RPPNMLSLJHIGFEA67CB,宏普陽明,9號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,2023-01-08,土地40建物1車位1,十九層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.41,2,2,2,有,無,27230000,281711,坡道平面,27.27,2400000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSLJHIGFBA37CB,首岳,B棟B6-19F號,
中山區,房地(土地+建物)+車位,臺北市中山區新生里松江路330巷23號,6.77,住,,,2023-01-14,土地4建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,46.97,1,1,1,有,無,14360000,360296,其他,13.22,2200000,,RPQNMLKMJHIGFCA86CB,松江ONE,C-10F號,
中山區,房地(土地+建物),臺北市中山區新生里松江路330巷23號,10.24,住,,,2023-01-10,土地4建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,51.09,1,1,1,有,無,18260000,357408,,0.0,0,,RPRNMLKMJHIGFCA96CB,松江ONE,B-8F號,
內湖區,房地(土地+建物),臺北市內湖區內湖里內湖路二段301巷1之1號共三筆,7.0,商,,,2023-01-07,土地6建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.64,2,2,1,有,無,20690000,259794,,0.0,0,,RPSNMLKMJHIGFCA07CB,紫陽新苑,A-4F號,
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖里內湖路二段301巷1之1號共三筆,7.0,商,,,2023-01-08,土地6建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.15,2,2,1,有,無,23450000,268081,其他,12.51,2100000,,RPTNMLKMJHIGFCA17CB,紫陽新苑,A-10F號,
內湖區,房地(土地+建物),臺北市內湖區內湖里內湖路二段301巷1之1號共三筆,5.59,商,,,2023-01-19,土地6建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,63.58,2,1,1,有,無,18800000,295690,,0.0,0,,RPUNMLKMJHIGFCA27CB,紫陽新苑,B-15F號,
士林區,房地(土地+建物),臺北市士林區承德路四段,7.55,住,,,2023-01-14,土地31建物1車位0,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,89.06,3,1,1,有,無,34500000,387379,,0.0,0,,RPPNMLKMJHIGFEA96CB,圓山帝寶,A3號,
中山區,房地(土地+建物),臺北市中山區南京東路三段12號,4.8,商,,,2023-01-19,土地6建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,55.62,1,1,1,有,無,22010000,395721,,0.0,0,,RPQNMLLMJHIGFCA96CB,南京阿曼,E-09F號,
萬華區,房地(土地+建物),臺北市萬華區環河南路二段,3.23,商,,,2023-01-16,土地6建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,33.8,1,0,1,有,無,7080000,209467,,0.0,0,雨遮計坪不計價,RPPNMLLMJHIGFBA76CB,首傅晴海.,A號,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路,28.19,住,,,2023-01-11,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.09,3,2,2,有,無,56130000,370086,坡道平面,38.88,3500000,,RPPNMLLJKHIGFCA66CB,國泰蒔美,A2-8F號,
內湖區,房地(土地+建物)+車位,臺北市內湖區江南街71巷16弄5之1號,17.43,住,,,2023-01-08,土地1建物1車位2,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,212.24,3,2,2,有,無,42480000,296857,坡道平面,90.7,6400000,雨遮計坪不計價含未登記露台面積約6.4坪,RPQNMLLJKHIGFCA76CB,廣宇江南,G2-13F號,
南港區,房地(土地+建物)+車位,臺北市南港區東新里興南街,17.32,住,,,2023-01-19,土地7建物1車位1,九層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,153.21,3,2,2,有,無,39800000,282124,坡道平面,23.48,3200000,預售屋雨遮計坪不計價,RPPNMLLJKHIGFDA76CB,擎天森林,A棟A9-9F號,
南港區,房地(土地+建物)+車位,臺北市南港區東新里興南街,11.93,住,,,2023-01-18,土地7建物1車位1,十四層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,112.99,2,2,2,有,無,29880000,300302,坡道平面,23.48,3000000,預售屋雨遮計坪不計價,RPQNMLLJKHIGFDA86CB,擎天森林,B棟B8-14F號,
北投區,房地(土地+建物),臺北市北投區公館路350巷28號,10.35,住,,,2023-01-03,土地9建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,53.93,2,1,1,有,無,13290000,246431,,0.0,0,,RPPNMLLJKHIGFEA86CB,欣聯奇岩,C-10F號,
北投區,房地(土地+建物),臺北市北投區公館路350巷28號,13.85,住,,,2023-01-08,土地9建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.7,2,2,1,有,無,17380000,245827,,0.0,0,,RPQNMLLJKHIGFEA96CB,欣聯奇岩,F-8F號,
北投區,房地(土地+建物)+車位,臺北市北投區公館路350巷28號,13.85,住,,,2023-01-08,土地9建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.84,2,2,1,有,無,20200000,247525,坡道平面,37.14,2700000,,RPRNMLLJKHIGFEA07CB,欣聯奇岩,F-10F號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路23巷,24.14,住,,,2023-01-19,土地1建物1車位1,三層,25,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,163.71,3,2,2,有,無,45900000,343815,坡道平面,37.77,2600000,本戶有約定專用露臺坪數約9.69坪,RPSNMLLJKHIGFEA17CB,柏鴻君臨,A9-03F號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路,26.7,住,,,2023-01-18,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.75,3,2,2,有,無,36760000,323014,坡道平面,36.77,2850000,,RPTNMLLJKHIGFEA27CB,宏普陽明,6號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路,26.7,住,,,2023-01-19,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.75,3,2,2,有,無,38000000,333873,坡道平面,36.77,2950000,此戶為約定專用露台戶,RPUNMLLJKHIGFEA37CB,宏普陽明,7號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,44.57,住,,,2023-01-31,土地2建物1車位2,十六層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,278.7,0,0,0,無,無,79780000,354630,坡道平面,74.6,7400000,,RPPNMLLJKHIGFEA96DB,樸園璞開石,16F-A2號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路與文承路交叉口,37.62,住,,,2023-01-04,土地3建物1車位1,十七層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,220.58,3,2,3,有,無,69990000,349234,坡道平面,28.76,3000000,,RPPNMLMJKHIGFEA96CB,華固上文林,A2-17號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路與文承路交叉口,31.17,住,,,2023-01-07,土地3建物1車位1,七層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,187.81,3,2,2,有,無,58000000,346432,坡道平面,28.76,2900000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPQNMLMJKHIGFEA07CB,華固上文林,A3-07號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路與文承路交叉口,37.62,住,,,2023-01-13,土地3建物1車位1,十九層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,220.58,3,2,3,有,無,68000000,338859,坡道平面,28.76,3000000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMJKHIGFEA17CB,華固上文林,A2-19號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路與文承路交叉口,31.17,住,,,2023-01-13,土地3建物1車位1,十九層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,187.81,3,2,2,有,無,58600000,349576,坡道平面,28.76,3000000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPSNMLMJKHIGFEA27CB,華固上文林,A3-19號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路與文承路交叉口,37.62,住,,,2023-01-29,土地3建物1車位1,六層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,220.58,3,2,3,有,無,68880000,341883,坡道平面,28.76,3300000,,RPTNMLMJKHIGFEA37CB,華固上文林,A2-06號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路,31.55,住,,,2023-01-20,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.82,3,2,2,有,無,42350000,317614,坡道平面,36.77,2950000,,RPQNMLNJKHIGFEA17CB,宏普陽明,3號,
文山區,房地(土地+建物)+車位,臺北市文山區木新路二段218巷、158巷交叉口,21.7,住,,,2023-01-08,土地5建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.03,3,2,2,有,無,28080000,227563,坡道平面,35.94,2800000,,RPPNMLNJKHIGFAA66CB,公園首璽,D棟D11號,
