鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路,39.22,住,,,2023-04-27,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,227.72,3,2,2,有,無,56230000,324491,坡道平面,73.54,6200000,,RPTNMLPJNHIGFEA97CB,宏普陽明,5號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路,26.7,住,,,2023-04-28,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.75,3,2,2,有,無,36250000,318156,坡道平面,36.77,2850000,,RPUNMLPJNHIGFEA08CB,宏普陽明,6號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路,26.7,住,,,2023-04-25,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.75,3,2,2,有,無,36580000,320347,坡道平面,36.77,2950000,,RPVNMLPJNHIGFEA18CB,宏普陽明,6號,
信義區,房地(土地+建物)+車位,臺北市信義區松隆路,6.55,商,,,2023-04-15,土地5建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.44,2,1,1,有,無,28420000,321205,升降機械,9.81,2200000,,RPQNMLQJNHIGFDA67CB,琢格77,B棟5F號,
信義區,房地(土地+建物)+車位,臺北市信義區松隆路,6.99,商,,,2023-04-11,土地5建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.77,2,1,1,有,無,32390000,347171,升降機械,9.81,2200000,,RPRNMLQJNHIGFDA77CB,琢格77,A棟11F號,
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段,7.19,住,,,2023-04-18,土地9建物1車位1,十六層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,105.94,2,1,1,有,無,24030000,287465,坡道平面,30.87,2450000,,RPPNMLQJNHIGFBA37CB,當代一號院,A棟07號,
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段,10.1,住,,,2023-04-18,土地9建物1車位1,十一層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,136.29,3,1,2,有,無,31600000,275090,坡道平面,30.87,2600000,,RPQNMLQJNHIGFBA47CB,當代一號院,A棟08號,
大同區,房地(土地+建物),臺北市大同區重慶北路三段,7.83,住,,,2023-04-28,土地9建物1車位0,四層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,81.64,2,1,1,有,無,21760000,266536,,0.0,0,,RPRNMLQJNHIGFBA57CB,當代一號院,A棟09號,
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段,7.54,住,,,2023-05-02,土地9建物1車位1,九層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,109.47,2,1,1,有,無,25000000,282443,坡道平面,30.87,2800000,,RPSNMLQJNHIGFBA67CB,當代一號院,A棟06號,
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段,11.2,住,,,2023-04-28,土地9建物1車位1,十六層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,147.77,3,1,2,有,無,35450000,278871,坡道平面,30.87,2850000,,RPTNMLQJNHIGFBA77CB,當代一號院,A棟01號,
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段,8.01,住,,,2023-04-28,土地9建物1車位1,十層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,114.38,2,1,1,有,無,25800000,275416,坡道平面,30.87,2800000,,RPUNMLQJNHIGFBA87CB,當代一號院,A棟05號,
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段,6.34,住,,,2023-04-28,土地9建物1車位1,八層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,97.0,2,1,1,有,無,21600000,293362,坡道平面,30.87,2200000,,RPVNMLQJNHIGFBA97CB,當代一號院,A棟03號,
大同區,房地(土地+建物),臺北市大同區重慶北路三段,6.34,住,,,2023-05-02,土地9建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,66.13,2,1,1,有,無,19020000,287615,,0.0,0,,RPXNMLQJNHIGFBA18CB,當代一號院,A棟03號,
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段,7.54,住,,,2023-05-02,土地9建物1車位1,十二層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,109.47,2,1,1,有,無,24680000,284733,坡道平面,30.87,2300000,,RPOOMLQJNHIGFBA37CB,當代一號院,A棟06號,
